iter	Passed	Remaining
0	108	108787
1	109	54627
2	110	36597
3	110	27567
4	111	22157
5	111	18542
6	112	15952
7	113	14016
8	113	12511
9	114	11304
10	114	10319
11	115	9499
12	116	8809
13	116	8216
14	117	7709
15	117	7253
16	118	6854
17	119	6495
18	119	6182
19	120	5897
20	121	5643
21	121	5408
22	122	5191
23	122	4991
24	123	4811
25	123	4644
26	124	4488
27	125	4344
28	125	4210
29	126	4085
30	126	3968
31	127	3857
32	128	3754
33	128	3657
34	129	3566
35	129	3479
36	130	3398
37	131	3322
38	131	3249
39	132	3178
40	132	3110
41	133	3045
42	134	2983
43	135	2947
44	138	2931
45	139	2896
46	140	2846
47	140	2795
48	141	2755
49	142	2714
50	143	2673
51	144	2632
52	145	2593
53	145	2552
54	146	2514
55	146	2477
56	147	2445
57	148	2411
58	149	2383
59	150	2355
60	151	2326
61	153	2324
62	154	2294
63	154	2265
64	155	2236
65	156	2208
66	156	2181
67	157	2157
68	158	2133
69	158	2109
70	159	2084
71	160	2063
72	160	2041
73	161	2019
74	163	2014
75	167	2037
76	168	2016
77	169	1997
78	169	1977
79	170	1957
80	170	1937
81	171	1918
82	171	1896
83	172	1878
84	172	1860
85	173	1843
86	173	1825
87	174	1810
88	175	1794
89	176	1781
90	176	1765
91	177	1751
92	178	1736
93	178	1721
94	179	1707
95	179	1693
96	180	1680
97	181	1667
98	181	1654
99	182	1640
100	182	1627
101	183	1614
102	183	1602
103	184	1589
104	185	1578
105	185	1566
106	186	1555
107	187	1544
108	187	1533
109	188	1522
110	188	1510
111	189	1499
112	189	1489
113	190	1479
114	191	1470
115	191	1460
116	192	1449
117	192	1440
118	193	1430
119	193	1420
120	194	1411
121	194	1401
122	195	1391
123	195	1382
124	196	1374
125	196	1366
126	197	1357
127	198	1348
128	198	1340
129	199	1332
130	199	1323
131	200	1315
132	200	1307
133	201	1299
134	201	1291
135	202	1283
136	202	1276
137	203	1269
138	203	1261
139	204	1255
140	205	1248
141	205	1240
142	205	1234
143	206	1228
144	207	1221
145	207	1215
146	208	1209
147	209	1203
148	209	1197
149	210	1190
150	210	1184
151	211	1178
152	211	1172
153	212	1165
154	212	1160
155	213	1156
156	214	1152
157	215	1146
158	215	1141
159	216	1135
160	216	1129
161	217	1123
162	217	1118
163	218	1114
164	219	1109
165	219	1104
166	220	1099
167	220	1094
168	221	1089
169	222	1084
170	222	1079
171	223	1074
172	223	1070
173	224	1065
174	225	1061
175	225	1056
176	226	1051
177	226	1046
178	227	1041
179	227	1037
180	228	1032
181	228	1028
182	229	1023
183	230	1020
184	230	1016
185	231	1011
186	231	1008
187	232	1004
188	233	999
189	233	995
190	234	991
191	234	987
192	235	984
193	235	980
194	236	977
195	237	973
196	237	969
197	238	965
198	238	961
199	239	957
200	240	955
201	240	951
202	241	948
203	242	944
204	242	941
205	243	937
206	243	933
207	244	930
208	244	926
209	245	924
210	246	921
211	246	917
212	247	914
213	247	910
214	248	907
215	249	903
216	249	900
217	250	897
218	250	893
219	251	890
220	251	887
221	252	884
222	252	881
223	253	877
224	253	874
225	254	871
226	254	868
227	255	864
228	255	861
229	256	858
230	257	856
231	257	853
232	258	850
233	259	848
234	259	845
235	260	842
236	260	839
237	261	836
238	262	834
239	262	831
240	263	829
241	263	826
242	264	823
243	265	821
244	265	818
245	266	815
246	266	812
247	267	810
248	267	808
249	268	805
250	269	803
251	269	800
252	270	798
253	270	795
254	271	792
255	271	790
256	272	787
257	273	785
258	273	783
259	274	781
260	275	778
261	275	776
262	276	773
263	276	771
264	277	768
265	277	766
266	278	764
267	279	762
268	279	760
269	280	758
270	281	756
271	281	753
272	282	751
273	282	749
274	283	746
275	283	744
276	284	742
277	285	740
278	285	738
279	286	736
280	286	734
281	287	732
282	288	729
283	288	727
284	289	725
285	289	723
286	290	721
287	290	719
288	291	717
289	292	715
290	292	712
291	293	710
292	293	708
293	294	706
294	294	704
295	295	702
296	295	700
297	296	698
298	296	696
299	297	693
300	297	691
301	298	689
302	299	687
303	299	685
304	300	684
305	300	682
306	301	680
307	301	678
308	302	676
309	303	674
310	303	672
311	304	670
312	304	668
313	305	666
314	305	665
315	306	663
316	306	661
317	307	659
318	307	657
319	308	655
320	308	653
321	309	651
322	309	649
323	310	647
324	311	645
325	311	644
326	312	642
327	312	640
328	313	638
329	313	637
330	314	635
331	314	633
332	315	631
333	315	629
334	316	628
335	317	626
336	317	625
337	318	623
338	318	621
339	319	619
340	319	617
341	320	616
342	320	614
343	321	612
344	321	611
345	322	609
346	323	608
347	323	606
348	324	604
349	324	602
350	325	601
351	325	599
352	326	597
353	326	596
354	327	594
355	327	593
356	328	591
357	329	590
358	329	588
359	330	586
360	330	585
361	331	583
362	331	581
363	332	580
364	332	578
365	333	577
366	333	575
367	334	574
368	334	572
369	335	571
370	335	569
371	336	567
372	336	566
373	337	564
374	337	563
375	338	561
376	339	560
377	339	558
378	339	557
379	340	555
380	340	553
381	341	552
382	342	551
383	342	549
384	343	547
385	343	546
386	344	545
387	344	543
388	345	542
389	345	540
390	346	539
391	346	537
392	347	536
393	347	535
394	348	533
395	348	532
396	349	530
397	350	529
398	350	528
399	351	526
400	351	525
401	352	524
402	352	522
403	353	521
404	353	519
405	354	518
406	354	517
407	355	515
408	356	514
409	356	513
410	357	511
411	357	510
412	358	509
413	358	507
414	359	506
415	359	505
416	360	503
417	361	502
418	361	501
419	362	500
420	362	498
421	363	497
422	363	496
423	364	494
424	364	493
425	365	491
426	365	490
427	366	489
428	366	488
429	367	487
430	367	485
431	368	484
432	368	483
433	369	481
434	369	480
435	370	479
436	371	478
437	371	477
438	372	475
439	372	474
440	373	473
441	373	472
442	374	470
443	374	469
444	375	468
445	375	466
446	376	465
447	377	464
448	377	463
449	378	462
450	378	460
451	379	459
452	379	458
453	380	457
454	380	455
455	381	454
456	381	453
457	382	452
458	382	451
459	383	449
460	383	448
